key,type,encoding,value
SPN617,data,string,Parking Brake On Actuator
SPN618,data,string,Parking Brake Off Actuator
SPN619,data,string,Parking Brake Actuator
SPN620,data,string,5 Volts DC Supply (Obsolete)
SPN621,data,string,Antenna Electronics
SPN622,data,string,J1922
SPN623,data,string,Red Stop Lamp
SPN624,data,string,Amber Warning Lamp
SPN625,data,string,Proprietary Network #1
SPN626,data,string,Engine Start Enable Device 1
SPN627,data,string,Power Supply (Obsolete)
SPN628,data,string,Program Memory
SPN629,data,string,Controller #1
SPN630,data,string,Calibration Memory
SPN631,data,string,Calibration Module
SPN632,data,string,Engine Fuel Shutoff 1 Control
SPN633,data,string,Engine Fuel Actuator 1 Control Command
SPN634,data,string,Engine Throttle Bypass Valve
SPN635,data,string,Engine Timing Actuator 1
SPN636,data,string,Engine  Sensor
SPN637,data,string,Engine Timing Sensor
SPN638,data,string,Engine Fuel Rack 1 Actuator
SPN639,data,string,J1939 Network #1, Primary Vehicle Network
SPN640,data,string,Engine External Protection Input
SPN641,data,string,Engine Variable Geometry Turbocharger Actuator #1
SPN642,data,string,Engine Turbocharger Variable Geometry Actuator #2
SPN643,data,string,Engine External Fuel Command Input
SPN644,data,string,Engine External Speed Command Input
SPN645,data,string,Engine Tachometer Signal Output
SPN646,data,string,Engine Turbocharger 1 Wastegate Drive
SPN647,data,string,Engine Fan Clutch 1 Output Driver
SPN648,data,string,Engine Exhaust Pressure Sensor (duplicate, use SPN 1209)
SPN649,data,string,Engine Exhaust Bank 1 Pressure Regulator Control Command
SPN650,data,string,Electronic Drive Unit Power Relay
SPN651,data,string,Engine Fuel 1 Injector Cylinder 1
SPN652,data,string,Engine Fuel 1 Injector Cylinder 2
SPN653,data,string,Engine Fuel 1 Injector Cylinder 3
SPN654,data,string,Engine Fuel 1 Injector Cylinder 4
SPN655,data,string,Engine Fuel 1 Injector Cylinder 5
SPN656,data,string,Engine Fuel 1 Injector Cylinder 6
SPN657,data,string,Engine Fuel 1 Injector Cylinder 7
SPN658,data,string,Engine Fuel 1 Injector Cylinder 8
SPN659,data,string,Engine Fuel 1 Injector Cylinder 9
SPN660,data,string,Engine Fuel 1 Injector Cylinder 10
SPN661,data,string,Engine Fuel 1 Injector Cylinder 11
SPN662,data,string,Engine Fuel 1 Injector Cylinder 12
SPN663,data,string,Engine Fuel 1 Injector Cylinder 13
SPN664,data,string,Engine Fuel 1 Injector Cylinder 14
SPN665,data,string,Engine Fuel 1 Injector Cylinder 15
SPN666,data,string,Engine Fuel 1 Injector Cylinder 16
SPN667,data,string,Engine Fuel 1 Injector Cylinder 17
SPN668,data,string,Engine Fuel 1 Injector Cylinder 18
SPN669,data,string,Engine Fuel 1 Injector Cylinder 19
SPN670,data,string,Engine Fuel 1 Injector Cylinder 20
SPN671,data,string,Engine Fuel 1 Injector Cylinder 21
SPN672,data,string,Engine Fuel 1 Injector Cylinder 22
SPN673,data,string,Engine Fuel 1 Injector Cylinder 23
SPN674,data,string,Engine Fuel 1 Injector Cylinder 24
SPN675,data,string,Engine Glow Plug Lamp
SPN676,data,string,Engine Glow Plug Relay
SPN677,data,string,Engine Starter Motor Relay
SPN678,data,string,ECU 8 Volts DC Supply
SPN679,data,string,Engine Fuel Injection Control Pressure Regulator
SPN680,data,string,Engine Valve Variable Swirl System
SPN681,data,string,Transmission Gear Shift Inhibit Request
SPN682,data,string,Transmission Torque Converter Lockup Request
SPN683,data,string,Disengage Driveline Request
SPN684,data,string,Requested Percent Clutch Slip
SPN685,data,string,Disengage Differential Lock Request    Front Axle 1
SPN686,data,string,Disengage Differential Lock Request    Front Axle 2
SPN687,data,string,Disengage Differential Lock Request    Rear Axle 1
SPN688,data,string,Disengage Differential Lock Request    Rear Axle 2
SPN689,data,string,Disengage Differential Lock Request    Central
SPN690,data,string,Disengage Differential Lock Request    Central Front
SPN691,data,string,Disengage Differential Lock Request    Central Rear
SPN692,data,string,ABS Offroad Switch Request
SPN693,data,string,ASR Offroad Switch Request
SPN694,data,string,ASR « Hill Holder » Switch Request
SPN695,data,string,Engine Override Control Mode
SPN696,data,string,Engine Requested Speed Control Conditions
SPN697,data,string,Auxiliary PWM Driver #1
SPN698,data,string,Auxiliary PWM Driver #2
SPN699,data,string,Auxiliary PWM Driver #3
SPN700,data,string,Auxiliary PWM Driver #4
SPN701,data,string,Auxiliary I/O #01
